	title	year	certificate	runtime	genre	imdb_rating	votes	metascore	gross
0	Железный человек	2008	12+	126	['Action', 'Adventure', 'Sci-Fi']	7.9	1079985	79	318412101
1	Звёздные войны. Эпизод 6: Возвращение джедая	1983	0+	131	['Action', 'Adventure', 'Fantasy']	8.3	1075108	58	309125409
2	Вверх	2009	0+	96	['Animation', 'Adventure', 'Comedy']	8.3	1066760	88	293004164
3	Дэдпул	2016	18+	108	['Action', 'Comedy']	8.0	1064807	65	363070709
4	В поисках Немо	2003	0+	100	['Animation', 'Adventure', 'Comedy']	8.2	1064187	90	380843261
5	Храброе сердце	1995	16+	178	['Biography', 'Drama', 'History']	8.4	1054013	68	75600000
6	Сияние	1980	18+	146	['Drama', 'Horror']	8.4	1046476	66	44017374
7	Бешеные псы	1992	18+	99	['Crime', 'Thriller']	8.3	1040713	81	2832029
8	Вечное сияние чистого разума	2004	16+	108	['Drama', 'Romance', 'Sci-Fi']	8.3	1029162	89	34400301
9	Безумный Макс: Дорога ярости	2015	16+	120	['Action', 'Adventure', 'Sci-Fi']	8.1	1027457	90	154058340
10	Пролетая над гнездом кукушки	1975	16+	133	['Drama']	8.7	1026683	84	112000000
11	Поймай меня, если сможешь	2002	12+	141	['Biography', 'Crime', 'Drama']	8.1	1017624	75	164615351
12	История игрушек	1995	6+	81	['Animation', 'Adventure', 'Comedy']	8.3	1015545	96	191796233
13	Парк юрского периода	1993	6+	127	['Action', 'Adventure', 'Sci-Fi']	8.2	1011597	68	402453882
14	Шестое чувство	1999	12+	107	['Drama', 'Mystery', 'Thriller']	8.2	1009296	64	293506292
15	Исчезнувшая	2014	18+	149	['Drama', 'Mystery', 'Thriller']	8.1	1006263	79	167767189
16	Умница Уилл Хантинг	1997	16+	126	['Drama', 'Romance']	8.3	1000727	70	138433435
17	Старикам тут не место	2007	16+	122	['Crime', 'Drama', 'Thriller']	8.2	998918	92	74283625
18	Индиана Джонс: В поисках утраченного ковчега	1981	0+	115	['Action', 'Adventure']	8.4	984112	85	248159971
19	Игры разума	2001	12+	135	['Biography', 'Drama']	8.2	948640	72	170742341
20	Звёздные войны: Пробуждение Силы	2015	12+	138	['Action', 'Adventure', 'Sci-Fi']	7.8	945865	80	936662225
21	Голодные игры	2012	14+	142	['Action', 'Adventure', 'Sci-Fi']	7.2	945656	68	408010692
22	Корпорация монстров	2001	6+	92	['Animation', 'Adventure', 'Comedy']	8.1	929834	79	289916256
23	Чужой	1979	18+	117	['Horror', 'Sci-Fi']	8.5	901297	89	78900000
24	Одержимость	2014	16+	106	['Drama', 'Music']	8.5	900663	89	13092000
25	Крепкий орешек	1988	16+	132	['Action', 'Thriller']	8.2	899812	72	83008852
26	Гарри Поттер и Дары смерти: Часть II	2011	12+	130	['Adventure', 'Family', 'Fantasy']	8.1	898308	85	381011219
27	Терминатор	1984	16+	107	['Action', 'Sci-Fi']	8.1	883528	84	38400000
28	Мстители: Эра Альтрона	2015	12+	141	['Action', 'Adventure', 'Sci-Fi']	7.3	883335	66	459005868
29	1+1	2011	14+	112	['Biography', 'Comedy', 'Drama']	8.5	879450	57	13182281
30	Марсианин	2015	16+	144	['Adventure', 'Drama', 'Sci-Fi']	8.0	877185	80	228433663
31	Большой куш	2000	16+	104	['Comedy', 'Crime']	8.2	872311	55	30328156
32	Железный человек 3	2013	12+	130	['Action', 'Adventure', 'Sci-Fi']	7.1	867647	62	409013994
33	Тор	2011	12+	115	['Action', 'Fantasy']	7.0	866212	57	181030624
34	Первый мститель: Другая война	2014	12+	136	['Action', 'Adventure', 'Sci-Fi']	7.8	864511	70	259766572
35	Лицо со шрамом	1983	18+	170	['Crime', 'Drama']	8.3	863698	65	45598982
36	Первый мститель	2011	12+	124	['Action', 'Adventure', 'Sci-Fi']	6.9	862702	66	176654505
37	Таксист	1976	18+	114	['Crime', 'Drama']	8.2	861120	94	28262574
38	Реквием по мечте	2000	18+	102	['Drama']	8.3	859945	71	3635482
39	Миллионер из трущоб	2008	14+	120	['Crime', 'Drama', 'Romance']	8.0	857743	84	141319928
40	Пианист	2002	16+	150	['Biography', 'Drama', 'Music']	8.5	853629	85	32572577
41	История игрушек 3	2010	0+	103	['Animation', 'Adventure', 'Comedy']	8.3	853149	92	415004880
42	Паразиты	2019	18+	132	['Drama', 'Thriller']	8.5	849978	96	53367844
