title,year,country,director,actor_1,actor_2,ratingKP
1+1,2011,Франция,Оливье Накаш,Франсуа Клюзе,Омар Си,8.805
Джентльмены,2019,Великобритания,Гай Ричи,Мэттью МакКонахи,Чарли Ханнэм,8.547
Волк с Уолл-стрит,2013,США,Мартин Скорсезе,Леонардо ДиКаприо,Джона Хилл,7.971
Гнев человеческий,2021,Великобритания,Гай Ричи,Джейсон Стэйтем,Холт Маккэллани,7.588
Брат,1997,Россия,Алексей Балабанов,Сергей Бодров мл.,Виктор Сухоруков,8.294
Один дома,1990,США,Крис Коламбус,Маколей Калкин,Джо Пеши,8.275
Аватар,2009,США,Джеймс Кэмерон,Сэм Уортингтон,Зои Салдана,7.971
Побег из Шоушенка,1994,США,Фрэнк Дарабонт,Тим Роббинс,Морган Фриман,9.108
Начало,2010,США,Кристофер Нолан,Леонардо ДиКаприо,Джозеф Гордон-Левитт,8.662
Зеленая миля,1999,США,Фрэнк Дарабонт,Том Хэнкс,Дэвид Морс,9.073
Иван Васильевич меняет профессию,1973,СССР,Леонид Гайдай,Александр Демьяненко,Юрий Яковлев,8.785
Достать ножи,2019,США,Райан Джонсон,Дэниэл Крэйг,Ана де Армас,8.086
Пираты Карибского моря: Проклятие Черной жемчужины,2003,США,Гор Вербински,Джонни Депп,Джеффри Раш,8.373
Гарри Поттер и философский камень,2001,Великобритания,Крис Коламбус,Дэниэл Рэдклифф,Руперт Гринт,8.263
Интерстеллар,2014,США,Кристофер Нолан,Мэттью МакКонахи,Энн Хэтэуэй,8.621
Брат 2,2000,Россия,Алексей Балабанов,Сергей Бодров мл.,Виктор Сухоруков,8.181
Бойцовский клуб,1999,США,Дэвид Финчер,Эдвард Нортон,Брэд Питт,8.658
Форрест Гамп,1994,США,Роберт Земекис,Том Хэнкс,Робин Райт,8.918
Зеленая книга,2018,США,Питер Фаррелли,Вигго Мортенсен,Махершала Али,8.406
Операция «Ы» и другие приключения Шурика,1965,СССР,Леонид Гайдай,Александр Демьяненко,Наталья Селезнёва,8.705
Любовь и голуби,1984,СССР,Владимир Меньшов,Александр Михайлов,Нина Дорошина,8.288
Остров проклятых,2009,США,Мартин Скорсезе,Леонардо ДиКаприо,Марк Руффало,8.514
Мстители: Война бесконечности,2018,США,Энтони Руссо,Роберт Дауни мл.,Крис Хемсворт,8.063
Веном,2018,США,Рубен Фляйшер,Том Харди,Мишель Уильямс,6.905
Титаник,1997,США,Джеймс Кэмерон,Леонардо ДиКаприо,Кейт Уинслет,8.384
Мстители: Финал,2019,США,Энтони Руссо,Роберт Дауни мл.,Крис Эванс,7.848
Криминальное чтиво,1994,США,Квентин Тарантино,Джон Траволта,Сэмюэл Л. Джексон,8.645
Стражи Галактики,2014,США,Джеймс Ганн,Крис Пратт,Зои Салдана,7.844
Дюна,2021,США,Дени Вильнёв,Тимоти Шаламе,Ребекка Фергюсон,7.673
Доктор Стрэндж,2016,США,Скотт Дерриксон,Бенедикт Камбербэтч,Тильда Суинтон,7.517
Области тьмы,2011,США,Нил Бёргер,Брэдли Купер,Роберт Де Ниро,7.99
Матрица,1999,США,Лана Вачовски,Киану Ривз,Лоренс Фишбёрн,8.497
Легенда,2015,Великобритания,Брайан Хелгеленд,Том Харди,Эмили Браунинг,7.19
