title,country,director,actor_1,actor_2,ratingKP
1+1,Франция,Оливье Накаш,Франсуа Клюзе,Омар Си,8.805
Джентльмены,Великобритания,Гай Ричи,Мэттью МакКонахи,Чарли Ханнэм,8.546
Волк с Уолл-стрит,США,Мартин Скорсезе,Леонардо ДиКаприо,Джона Хилл,7.97
Гнев человеческий,Великобритания,Гай Ричи,Джейсон Стэйтем,Холт Маккэллани,7.588
Брат,Россия,Алексей Балабанов,Сергей Бодров мл.,Виктор Сухоруков,8.293
Один дома,США,Крис Коламбус,Маколей Калкин,Джо Пеши,8.275
Аватар,США,Джеймс Кэмерон,Сэм Уортингтон,Зои Салдана,7.971
Побег из Шоушенка,США,Фрэнк Дарабонт,Тим Роббинс,Морган Фриман,9.108
Начало,США,Кристофер Нолан,Леонардо ДиКаприо,Джозеф Гордон-Левитт,8.662
Зеленая миля,США,Фрэнк Дарабонт,Том Хэнкс,Дэвид Морс,9.073
Иван Васильевич меняет профессию,СССР,Леонид Гайдай,Александр Демьяненко,Юрий Яковлев,8.785
Достать ножи,США,Райан Джонсон,Дэниэл Крэйг,Ана де Армас,8.086
Пираты Карибского моря: Проклятие Черной жемчужины,США,Гор Вербински,Джонни Депп,Джеффри Раш,8.373
Гарри Поттер и философский камень,Великобритания,Крис Коламбус,Дэниэл Рэдклифф,Руперт Гринт,8.263
Интерстеллар,США,Кристофер Нолан,Мэттью МакКонахи,Энн Хэтэуэй,8.62
Брат 2,Россия,Алексей Балабанов,Сергей Бодров мл.,Виктор Сухоруков,8.18
Бойцовский клуб,США,Дэвид Финчер,Эдвард Нортон,Брэд Питт,8.657
Форрест Гамп,США,Роберт Земекис,Том Хэнкс,Робин Райт,8.918
Операция «Ы» и другие приключения Шурика,СССР,Леонид Гайдай,Александр Демьяненко,Наталья Селезнёва,8.706
Зеленая книга,США,Питер Фаррелли,Вигго Мортенсен,Махершала Али,8.405
Любовь и голуби,СССР,Владимир Меньшов,Александр Михайлов,Нина Дорошина,8.287
Остров проклятых,США,Мартин Скорсезе,Леонардо ДиКаприо,Марк Руффало,8.513
Мстители: Война бесконечности,США,Энтони Руссо,Роберт Дауни мл.,Крис Хемсворт,8.062
Титаник,США,Джеймс Кэмерон,Леонардо ДиКаприо,Кейт Уинслет,8.384
Веном,США,Рубен Фляйшер,Том Харди,Мишель Уильямс,6.904
Мстители: Финал,США,Энтони Руссо,Роберт Дауни мл.,Крис Эванс,7.847
Криминальное чтиво,США,Квентин Тарантино,Джон Траволта,Сэмюэл Л. Джексон,8.644
Стражи Галактики,США,Джеймс Ганн,Крис Пратт,Зои Салдана,7.843
Дюна,США,Дени Вильнёв,Тимоти Шаламе,Ребекка Фергюсон,7.672
Доктор Стрэндж,США,Скотт Дерриксон,Бенедикт Камбербэтч,Тильда Суинтон,7.517
Области тьмы,США,Нил Бёргер,Брэдли Купер,Роберт Де Ниро,7.99
Матрица,США,Лана Вачовски,Киану Ривз,Лоренс Фишбёрн,8.497
Легенда,Великобритания,Брайан Хелгеленд,Том Харди,Эмили Браунинг,7.189
Темный рыцарь,США,Кристофер Нолан,Кристиан Бэйл,Хит Леджер,8.52
Мстители,США,Джосс Уидон,Роберт Дауни мл.,Крис Эванс,7.893
"Поймай меня, если сможешь",США,Стивен Спилберг,Леонардо ДиКаприо,Том Хэнкс,8.526
Джентльмены удачи,СССР,Александр Серый,Евгений Леонов,Георгий Вицин,8.543
Джанго освобожденный,США,Квентин Тарантино,Джейми Фокс,Кристоф Вальц,8.232
Бриллиантовая рука,СССР,Леонид Гайдай,Юрий Никулин,Андрей Миронов,8.514
Дэдпул,США,Тим Миллер,Райан Рейнольдс,Морена Баккарин,7.56
Ford против Ferrari,США,Джеймс Мэнголд,Кристиан Бэйл,Мэтт Дэймон,8.24
Шерлок Холмс,США,Гай Ричи,Роберт Дауни мл.,Джуд Лоу,8.063
Гладиатор,США,Ридли Скотт,Рассел Кроу,Хоакин Феникс,8.583
"Кавказская пленница, или Новые приключения Шурика",СССР,Леонид Гайдай,Александр Демьяненко,Наталья Варлей,8.463
Властелин колец: Братство Кольца,Новая,Питер Джексон,Элайджа Вуд,Иэн Маккеллен,8.604
Назад в будущее,США,Роберт Земекис,Майкл Дж. Фокс,Кристофер Ллойд,8.644
Марсианин,США,Ридли Скотт,Мэтт Дэймон,Джессика Честейн,7.759
Гарри Поттер и узник Азкабана,Великобритания,Альфонсо Куарон,Дэниэл Рэдклифф,Руперт Гринт,8.22
Леон,Франция,Люк Бессон,Жан Рено,Натали Портман,8.669
Железный человек,США,Джон Фавро,Роберт Дауни мл.,Джефф Бриджес,7.96
Пираты Карибского моря: Сундук мертвеца,США,Гор Вербински,Джонни Депп,Орландо Блум,8.137
Иллюзия обмана,США,Луи Летерье,Джесси Айзенберг,Марк Руффало,7.714
Достучаться до небес,Германия,Томас Ян,Тиль Швайгер,Ян Йозеф Лиферс,8.635
Москва слезам не верит,СССР,Владимир Меньшов,Вера Алентова,Ирина Муравьёва,8.423
Гарри Поттер и Тайная комната,Великобритания,Крис Коламбус,Дэниэл Рэдклифф,Руперт Гринт,8.123
Престиж,Великобритания,Кристофер Нолан,Хью Джекман,Кристиан Бэйл,8.518
Холоп,Россия,Клим Шипенко,Милош Бикович,Александра Бортич,6.765
Лига справедливости Зака Снайдера,США,Зак Снайдер,Бен Аффлек,Галь Гадот,7.832
Исчезнувшая,США,Дэвид Финчер,Бен Аффлек,Розамунд Пайк,7.959
Пятый элемент,Франция,Люк Бессон,Брюс Уиллис,Милла Йовович,8.11
Бесславные ублюдки,Германия,Квентин Тарантино,Брэд Питт,Кристоф Вальц,7.984
Законопослушный гражданин,США,Ф. Гэри Грей,Джейми Фокс,Джерард Батлер,8.0
Главный герой,США,Шон Леви,Райан Рейнольдс,Джоди Комер,7.386
Первому игроку приготовиться,США,Стивен Спилберг,Тай Шеридан,Оливия Кук,7.456
Дьявол носит Prada,США,Дэвид Фрэнкел,Мэрил Стрип,Энн Хэтэуэй,7.687
Джокер,США,Тодд Филлипс,Хоакин Феникс,Роберт Де Ниро,7.978
Гарри Поттер и Дары Смерти: Часть II,Великобритания,Дэвид Йейтс,Дэниэл Рэдклифф,Руперт Гринт,8.15
Властелин колец: Возвращение короля,Новая,Питер Джексон,Элайджа Вуд,Вигго Мортенсен,8.656
Один дома 2: Затерянный в Нью-Йорке,США,Крис Коламбус,Маколей Калкин,Джо Пеши,8.028
Круэлла,США,Крэйг Гиллеспи,Эмма Стоун,Эмма Томпсон,7.579
Вышка,Великобритания,Скотт Манн,Грейс Кэролайн Карри,Вирджиния Гарднер,6.747
Пираты Карибского моря: На краю света,США,Гор Вербински,Джонни Депп,Джеффри Раш,8.06
Алита: Боевой ангел,Япония,Роберт Родригес,Роза Салазар,Кристоф Вальц,7.239
Властелин колец: Две крепости,Новая,Питер Джексон,Элайджа Вуд,Иэн Маккеллен,8.6
Мажор в Сочи,Россия,Никита Власов,Павел Прилучный,Павел Чинарёв,7.053
Хоббит: Нежданное путешествие,Новая,Питер Джексон,Мартин Фриман,Иэн Маккеллен,8.102
Живая сталь,США,Шон Леви,Хью Джекман,Дакота Гойо,7.664
Большой куш,Великобритания,Гай Ричи,Джейсон Стэйтем,Стивен Грэм,8.549
Однажды в… Голливуде,США,Квентин Тарантино,Леонардо ДиКаприо,Брэд Питт,7.652
Девчата,СССР,Юрий Чулюкин,Надежда Румянцева,Николай Рыбников,8.397
Довод,Великобритания,Кристофер Нолан,Джон Дэвид Вашингтон,Роберт Паттинсон,7.523
